approved,age,income,loan_amount,credit_score,employment_years,debt_to_income,area_type,education,self_employed,property_value
0,34,46490,189816,424,7,0.58,rural,high_school,1,494059
1,55,115484,517574,816,29,0.64,suburban,postgraduate,1,1446317
0,35,90889,511239,544,11,0.28,urban,postgraduate,1,590464
0,37,46791,451641,454,14,0.62,urban,graduate,1,1078473
1,54,59480,70480,730,28,0.66,rural,graduate,1,191244
1,44,56694,281251,699,18,0.27,suburban,graduate,0,555881
1,45,123771,463160,846,25,0.58,suburban,postgraduate,0,1011442
0,25,82119,322793,486,5,0.22,rural,postgraduate,1,567537
1,44,88193,104615,781,24,0.33,suburban,graduate,1,313825
1,24,84573,209784,504,4,0.43,rural,postgraduate,0,309869
1,49,69198,376147,417,27,0.07,suburban,postgraduate,1,457469
0,39,113672,304646,503,18,0.67,suburban,postgraduate,1,366733
1,27,67164,580538,679,6,0.06,suburban,postgraduate,0,1332384
1,46,98633,506641,770,24,0.47,suburban,graduate,0,685117
1,54,101623,307420,574,29,0.12,suburban,graduate,1,818186
1,48,73647,80094,688,23,0.31,urban,high_school,1,159275
1,36,84116,60644,582,8,0.2,urban,graduate,1,123304
0,35,80385,564663,546,8,0.06,suburban,postgraduate,1,1070798
1,35,61385,396859,652,9,0.41,suburban,graduate,1,676097
0,39,75024,244143,623,18,0.64,rural,graduate,0,337669
1,53,131671,428411,603,30,0.06,rural,postgraduate,1,582160
0,54,85953,564723,599,32,0.06,rural,high_school,1,680590
1,41,69164,118517,789,20,0.11,suburban,high_school,0,213498
0,60,78641,310247,611,39,0.66,rural,postgraduate,0,383745
0,34,101702,499660,604,5,0.55,suburban,postgraduate,1,804832
1,59,122971,135131,570,29,0.19,rural,postgraduate,0,177577
0,48,57134,526086,595,24,0.24,suburban,postgraduate,1,600979
0,36,52367,206226,530,6,0.71,suburban,postgraduate,0,580902
1,39,55914,335470,611,13,0.45,suburban,postgraduate,1,671256
0,25,75034,145763,556,5,0.59,suburban,postgraduate,0,212500
0,21,41272,594173,479,0,0.78,urban,postgraduate,1,1368391
0,31,108214,414863,393,4,0.31,urban,postgraduate,1,753680
1,46,105348,88479,710,18,0.3,suburban,postgraduate,1,168964
0,40,75713,534417,301,10,0.2,urban,high_school,1,976110
0,60,68824,509398,434,36,0.44,rural,graduate,0,1406801
0,21,48170,477809,314,0,0.84,urban,postgraduate,0,566881
0,27,89558,336706,598,0,0.44,suburban,postgraduate,0,616502
0,50,48191,582929,495,21,0.16,urban,high_school,1,1453000
0,46,57545,563425,605,17,0.41,rural,graduate,1,1538443
0,50,110389,387408,686,23,0.83,urban,graduate,1,1061189
1,46,63756,209493,690,20,0.08,urban,high_school,1,417028
1,52,133435,529123,750,31,0.17,rural,postgraduate,1,545364
0,24,51615,134216,707,0,0.73,suburban,graduate,1,362857
1,54,113203,87642,799,26,0.24,urban,graduate,1,195872
0,34,106211,224446,402,7,0.77,suburban,postgraduate,0,535977
0,22,39100,306059,741,0,0.5,suburban,graduate,0,631195
1,25,86738,200069,809,0,0.56,urban,postgraduate,1,292976
0,49,99425,513187,461,28,0.84,suburban,graduate,0,1483352
1,36,85377,298728,794,15,0.34,rural,graduate,1,526576
1,38,114237,58491,705,14,0.6,rural,postgraduate,1,124694
1,58,135502,419435,535,29,0.2,suburban,postgraduate,1,603151
0,36,61424,512236,340,12,0.34,urban,postgraduate,0,546417
0,40,62379,576169,674,12,0.71,rural,postgraduate,1,1628814
0,36,94522,128957,417,9,0.82,urban,graduate,1,165260
0,45,113716,179592,314,21,0.59,rural,postgraduate,1,342943
0,36,129226,295180,410,6,0.55,urban,postgraduate,1,573521
1,59,100127,478129,609,29,0.09,urban,high_school,0,589701
0,22,29135,457524,850,0,0.59,rural,graduate,1,872629
1,46,104741,477940,801,17,0.27,suburban,postgraduate,0,1375562
0,43,71901,435178,671,22,0.83,suburban,high_school,1,909057
0,32,48577,399709,321,12,0.15,rural,high_school,1,594422
0,56,56435,394519,521,33,0.68,urban,high_school,0,1005525
0,29,26699,65582,326,7,0.68,rural,high_school,1,112570
0,57,66083,169169,429,31,0.43,rural,graduate,0,421455
1,26,35688,530292,833,2,0.07,urban,graduate,0,1212608
1,50,59816,134714,754,29,0.17,urban,graduate,1,221499
1,57,154031,525755,843,33,0.39,suburban,postgraduate,1,1057347
0,27,62618,405395,533,1,0.37,suburban,postgraduate,0,1076258
1,40,116512,145656,785,19,0.12,suburban,postgraduate,1,387961
0,26,66990,178168,637,0,0.75,rural,postgraduate,1,324553
1,23,30100,212246,819,0,0.23,suburban,graduate,1,491025
0,26,59866,77529,531,0,0.58,rural,graduate,1,171958
0,37,69445,470252,485,15,0.64,suburban,postgraduate,1,535697
0,21,31095,438028,649,0,0.31,suburban,high_school,0,711039
0,23,25843,514637,383,0,0.44,urban,high_school,0,1195953
0,48,88819,500797,416,23,0.59,rural,graduate,1,611863
0,39,68653,264353,356,19,0.22,suburban,high_school,0,423715
1,28,34422,234229,809,2,0.48,suburban,graduate,1,294747
0,42,37212,131644,319,15,0.51,urban,high_school,1,358627
0,56,54702,230222,321,31,0.54,suburban,graduate,1,599185
1,25,45140,132467,710,0,0.3,rural,graduate,0,237319
0,41,31965,584723,416,13,0.67,rural,high_school,1,811482
0,29,31720,210295,477,0,0.57,rural,high_school,0,530033
1,31,86537,388908,759,1,0.55,suburban,postgraduate,1,1061133
1,48,102788,127794,660,20,0.41,suburban,postgraduate,1,207130
0,23,51244,581699,392,0,0.51,rural,graduate,1,1029005
1,22,48504,114879,813,0,0.7,suburban,graduate,0,218390
0,41,115211,509022,340,18,0.47,urban,postgraduate,0,1517889
0,38,71473,400905,353,8,0.13,suburban,graduate,1,453753
0,44,107006,135461,453,19,0.16,urban,graduate,1,293337
1,45,56254,147992,636,23,0.39,suburban,high_school,0,339205
0,43,37654,559892,519,18,0.85,suburban,high_school,1,774896
0,26,65954,445019,434,0,0.19,urban,postgraduate,0,582309
0,59,60319,348768,543,32,0.68,rural,high_school,1,873587
1,50,95859,345459,751,23,0.45,urban,high_school,1,883078
0,46,45038,553935,556,26,0.49,urban,high_school,0,1522342
1,27,40229,508723,825,5,0.78,rural,graduate,0,602036
1,48,44979,297231,814,23,0.12,suburban,graduate,0,526792
0,26,44052,195534,593,0,0.43,rural,postgraduate,1,492292
0,59,51646,493814,453,31,0.28,rural,high_school,0,603625
1,46,61621,67233,811,17,0.51,rural,postgraduate,1,152209
0,29,57274,486802,546,0,0.58,rural,graduate,1,669171
0,53,135245,455674,344,23,0.25,suburban,postgraduate,0,1349742
0,21,33775,398671,406,0,0.33,suburban,graduate,0,505044
0,49,84479,529911,438,28,0.21,urban,postgraduate,1,569107
1,32,43192,88399,784,8,0.2,suburban,high_school,1,221579
1,41,61720,455426,709,14,0.2,suburban,graduate,0,764238
1,51,90992,239222,380,25,0.31,rural,graduate,1,500200
1,39,73320,94412,659,12,0.78,rural,graduate,1,231652
0,59,143803,475942,358,38,0.69,urban,graduate,1,821772
0,29,46341,434123,541,0,0.81,rural,postgraduate,1,748558
0,22,66831,515504,679,0,0.51,urban,postgraduate,0,1302250
1,37,56289,455785,811,9,0.14,rural,high_school,0,1288542
0,36,111446,259902,592,9,0.73,rural,postgraduate,1,323649
0,48,58484,354466,366,20,0.73,urban,high_school,1,986359
0,60,60617,298235,505,38,0.07,urban,high_school,1,769668
0,55,51823,480749,790,27,0.71,rural,high_school,0,1220299
0,24,27363,592491,777,0,0.75,urban,high_school,1,1000734
0,31,67802,593269,356,10,0.18,urban,high_school,1,774827
1,40,116073,132690,831,16,0.56,suburban,postgraduate,0,199195
0,39,110919,404019,457,17,0.5,urban,postgraduate,0,1084815
0,21,49375,271048,571,0,0.38,urban,high_school,0,686813
1,60,187765,475818,794,37,0.11,urban,postgraduate,1,758866
0,23,34596,200647,508,0,0.62,suburban,high_school,1,326084
0,45,67655,539131,626,22,0.41,urban,high_school,1,671241
0,29,55422,217457,728,6,0.8,suburban,high_school,0,571249
1,30,70532,144423,809,10,0.45,suburban,graduate,1,417449
1,35,27755,543446,806,6,0.06,rural,high_school,1,854023
1,36,69198,254110,710,16,0.28,suburban,postgraduate,1,438351
0,44,87225,151377,421,22,0.69,urban,postgraduate,1,270632
0,29,29164,399218,339,7,0.47,urban,high_school,1,1041133
0,29,93398,462042,626,7,0.64,suburban,postgraduate,0,1377454
1,52,127776,436251,786,32,0.14,urban,postgraduate,1,725258
0,46,146344,547643,327,17,0.57,urban,postgraduate,1,838474
1,34,88877,448658,836,4,0.59,urban,postgraduate,0,581259
0,22,34196,208787,621,0,0.21,rural,postgraduate,0,381228
0,50,81263,390839,512,22,0.43,urban,postgraduate,0,1171049
0,44,92728,421496,650,16,0.74,suburban,graduate,0,991247
0,36,108831,362999,585,8,0.83,rural,postgraduate,1,526252
0,39,88972,415746,624,12,0.8,urban,graduate,0,881786
0,56,135872,94109,449,32,0.62,suburban,postgraduate,1,148246
0,42,78179,334303,506,14,0.61,urban,graduate,1,958128
1,57,72892,294146,843,34,0.38,rural,high_school,0,325026
0,50,80743,548807,461,24,0.21,rural,high_school,0,1072861
0,23,50693,488184,338,1,0.19,urban,high_school,0,1349579
0,22,61152,59717,596,2,0.53,rural,graduate,1,95355
1,49,125858,252177,779,25,0.31,rural,postgraduate,1,660105
1,49,84869,252544,645,25,0.73,urban,postgraduate,1,341184
0,52,88467,550646,489,30,0.25,suburban,graduate,0,907025
1,36,72791,61991,637,12,0.34,suburban,graduate,0,94418
1,49,85782,359369,618,28,0.23,suburban,graduate,0,623536
0,28,61891,543699,682,2,0.69,suburban,graduate,0,1367240
0,58,90876,167659,379,29,0.49,urban,high_school,1,188367
0,52,50674,171886,832,25,0.62,rural,high_school,0,405752
1,48,56706,110541,767,19,0.59,rural,high_school,1,234081
1,39,65110,126577,303,16,0.33,suburban,postgraduate,0,138042
0,24,43036,490781,438,0,0.76,suburban,graduate,0,858337
0,48,84307,414663,436,18,0.84,rural,graduate,1,513048
1,34,42904,447700,734,6,0.25,suburban,high_school,0,1184936
0,42,70162,489605,415,22,0.8,rural,high_school,1,1091743
0,24,38919,96385,349,1,0.24,suburban,high_school,0,173929
0,33,74228,384394,539,4,0.67,urban,high_school,0,828349
0,29,56527,233640,362,1,0.39,suburban,postgraduate,0,526154
1,51,80633,486548,837,26,0.29,urban,high_school,1,883823
1,35,37663,482723,774,15,0.5,urban,high_school,1,1417068
0,28,38069,439102,380,1,0.63,suburban,graduate,0,520304
1,58,80304,269036,522,31,0.32,rural,postgraduate,0,736875
0,20,26247,264447,790,0,0.24,urban,high_school,0,474223
1,49,76974,538640,825,22,0.84,suburban,postgraduate,1,644868
0,50,63036,282022,346,21,0.06,suburban,graduate,0,700120
0,46,60395,307666,688,17,0.57,rural,graduate,0,614902
1,41,87805,226405,802,14,0.33,urban,graduate,1,558211
0,31,51186,100871,376,1,0.38,urban,postgraduate,0,255070
0,60,55636,528160,523,32,0.54,urban,high_school,0,922379
1,50,56656,67538,721,30,0.27,rural,postgraduate,1,139049
0,38,31612,206130,398,10,0.55,rural,high_school,1,305471
0,45,51667,364546,549,22,0.73,suburban,high_school,1,863275
1,22,30626,59909,787,2,0.12,suburban,high_school,1,144122
0,41,139172,548598,535,18,0.79,urban,postgraduate,0,846042
1,37,108869,267221,622,17,0.65,rural,postgraduate,0,580957
0,24,43557,397843,698,0,0.64,urban,graduate,0,703264
0,25,40931,407137,537,4,0.54,rural,postgraduate,1,899910
0,40,48952,443663,664,12,0.59,suburban,high_school,1,826852
0,44,62338,211712,384,20,0.68,rural,high_school,1,372613
1,43,71564,332870,755,18,0.12,rural,high_school,0,400929
0,47,42644,147584,662,19,0.68,rural,graduate,1,323777
0,46,114021,596417,548,17,0.35,urban,graduate,0,798701
0,28,50750,505791,364,6,0.29,suburban,graduate,1,784949
1,35,101316,192071,768,14,0.81,urban,postgraduate,1,309102
1,41,80951,192736,740,11,0.53,suburban,postgraduate,1,308545
1,31,65264,304200,802,2,0.27,suburban,graduate,1,502469
0,45,62042,78223,484,15,0.42,urban,graduate,0,227316
0,38,93054,367543,442,8,0.58,suburban,postgraduate,0,545449
1,47,101997,470274,790,18,0.79,suburban,graduate,0,972872
0,22,54757,96448,663,0,0.57,rural,graduate,0,205090
0,45,40409,585482,564,22,0.5,rural,graduate,1,1460020
1,43,87061,411724,812,21,0.44,urban,graduate,1,1233280
0,38,79569,377040,445,13,0.68,rural,graduate,0,635739
0,26,30737,73682,345,5,0.57,suburban,graduate,1,198820
0,30,60227,497080,463,5,0.24,urban,postgraduate,0,1449945
0,60,67073,500418,502,33,0.61,suburban,postgraduate,1,889578
1,33,44664,433561,849,11,0.42,urban,graduate,0,716229
1,53,111214,169781,701,24,0.73,urban,postgraduate,1,287922
0,59,84429,173586,437,34,0.14,urban,high_school,1,256411
0,44,74031,231649,490,17,0.44,urban,graduate,0,488738
0,28,43289,558149,667,8,0.7,suburban,high_school,1,710562
1,51,89886,225377,754,24,0.07,suburban,graduate,1,262641
0,34,44017,529536,595,12,0.67,suburban,graduate,0,1128600
1,56,96226,93631,675,28,0.4,urban,high_school,1,235950
1,33,86998,83796,553,9,0.33,urban,graduate,0,159167
0,27,49591,498965,659,0,0.16,urban,high_school,0,664603
0,33,45493,226556,587,4,0.61,urban,high_school,0,373207
1,52,141106,340794,721,32,0.15,rural,postgraduate,0,931763
0,28,39938,461776,553,0,0.51,urban,high_school,0,913816
0,48,56820,526782,584,23,0.31,suburban,high_school,0,1527935
0,20,93274,467035,666,0,0.39,urban,postgraduate,0,670503
1,38,96829,100760,651,8,0.55,urban,graduate,0,110018
0,49,54045,262146,300,23,0.78,rural,high_school,0,784180
0,37,30068,465594,469,17,0.63,suburban,high_school,1,1048149
0,34,45138,131724,518,7,0.23,urban,graduate,0,166683
0,41,41239,451677,372,18,0.69,urban,high_school,1,532374
0,26,33667,199792,436,0,0.5,suburban,graduate,1,227128
1,42,126254,513873,721,13,0.12,urban,postgraduate,0,1397696
0,26,54001,379780,659,0,0.25,urban,high_school,0,980650
0,58,78177,592899,608,35,0.2,urban,postgraduate,1,1312591
0,45,69309,573850,415,22,0.11,rural,graduate,0,1306177
1,43,88285,231162,730,18,0.81,suburban,graduate,0,583788
0,24,28590,467307,340,4,0.55,rural,high_school,0,940792
0,45,34437,263068,380,17,0.17,suburban,high_school,0,775689
0,40,75080,306355,544,20,0.4,suburban,graduate,0,359178
0,39,48019,221790,440,19,0.33,rural,postgraduate,0,441988
1,53,91206,80782,575,32,0.39,rural,postgraduate,1,134907
1,56,102643,573879,668,36,0.18,suburban,postgraduate,0,1560216
0,30,73416,583541,418,7,0.74,urban,graduate,0,586538
0,43,92351,489740,336,15,0.25,rural,graduate,0,709648
1,40,68592,105230,814,10,0.69,urban,graduate,0,142974
0,24,39772,436839,767,4,0.5,suburban,graduate,1,612160
1,39,73155,307034,805,16,0.8,suburban,postgraduate,0,399491
1,60,64400,158998,685,36,0.84,suburban,postgraduate,0,224248
0,46,83534,292716,395,26,0.47,rural,graduate,0,818016
1,25,51419,115308,703,4,0.82,urban,postgraduate,0,215622
1,35,80129,383507,702,10,0.24,suburban,graduate,1,730778
1,57,45325,476259,777,32,0.34,rural,high_school,0,591262
0,33,45128,215271,422,12,0.29,suburban,graduate,1,562975
0,33,66739,588401,664,7,0.29,rural,graduate,0,646006
0,31,43794,534487,555,10,0.69,suburban,high_school,1,643423
0,34,39457,321393,386,5,0.11,suburban,high_school,0,911103
1,24,23351,94770,639,3,0.09,rural,high_school,1,273369
0,45,80547,275146,476,20,0.27,suburban,graduate,0,774978
0,48,74157,359440,551,18,0.76,urban,high_school,0,718083
1,44,59155,70478,838,21,0.68,rural,high_school,1,209940
1,42,89804,457247,814,17,0.07,suburban,graduate,1,704558
0,37,49328,154998,538,15,0.24,urban,high_school,1,231832
1,54,110627,232150,697,29,0.52,rural,postgraduate,0,313913
0,57,80518,374065,492,30,0.08,urban,high_school,1,505404
0,23,35865,261250,300,0,0.32,rural,high_school,0,682617
0,40,53013,432614,445,19,0.35,rural,high_school,0,1263716
0,45,75566,508089,439,23,0.82,suburban,postgraduate,0,1312741
0,55,120257,371727,479,29,0.29,rural,postgraduate,1,917418
1,31,118039,83955,700,2,0.3,urban,postgraduate,0,114528
0,60,77816,413656,379,37,0.18,suburban,postgraduate,0,1226390
0,25,36310,121087,514,2,0.68,suburban,postgraduate,1,205964
1,48,126737,418292,804,22,0.13,rural,postgraduate,1,875086
0,50,94075,71053,334,26,0.81,rural,postgraduate,0,116344
0,44,87206,556186,395,19,0.4,urban,high_school,0,1339857
1,30,42975,249212,639,7,0.49,rural,postgraduate,1,453206
1,38,38048,107152,802,16,0.39,rural,graduate,0,184479
0,38,53044,355986,511,16,0.43,rural,postgraduate,1,1051623
1,50,84204,439043,696,28,0.35,rural,graduate,1,1216581
0,48,54390,114633,531,24,0.61,suburban,high_school,1,149282
0,54,59458,488967,696,26,0.6,urban,graduate,0,1433287
0,50,81248,576491,704,30,0.46,suburban,postgraduate,0,1235097
0,29,55548,252087,471,6,0.39,rural,high_school,1,315706
0,47,52522,456951,368,26,0.49,urban,high_school,0,965413
0,20,51277,155071,451,0,0.5,rural,postgraduate,1,441930
1,26,38987,546025,797,0,0.27,suburban,graduate,1,586939
0,45,62294,331631,350,18,0.07,suburban,high_school,1,926597
0,39,82427,190913,400,16,0.64,suburban,graduate,1,305644
0,46,87843,591590,716,19,0.71,rural,postgraduate,0,1617630
1,52,70105,599753,713,30,0.07,suburban,high_school,0,1654517
0,23,21559,337286,669,0,0.42,suburban,high_school,0,585765
0,45,65285,517773,681,18,0.75,urban,postgraduate,0,701669
0,30,31672,274729,350,8,0.57,suburban,graduate,0,745675
0,33,39915,188741,309,6,0.53,urban,graduate,1,433112
1,39,110422,314239,657,12,0.29,suburban,postgraduate,1,451378
1,53,81039,442408,823,23,0.53,urban,postgraduate,1,939194
0,50,64709,363305,583,26,0.46,suburban,high_school,1,500169
0,35,45801,571533,443,15,0.26,urban,high_school,1,1711706
0,22,69490,548844,527,0,0.59,suburban,postgraduate,0,1543927
0,52,122629,152344,485,28,0.64,urban,graduate,0,295785
0,31,55240,372002,663,8,0.76,urban,postgraduate,1,684835
1,43,87730,124675,781,23,0.21,suburban,graduate,1,242422
0,53,103256,260026,454,31,0.84,rural,graduate,1,438232
0,49,49581,398787,382,22,0.19,urban,high_school,1,902082
1,37,68935,185691,801,16,0.56,urban,high_school,0,413897
1,45,40058,441225,846,22,0.76,suburban,graduate,1,1279613
0,21,81754,377252,531,0,0.36,urban,postgraduate,0,474530
0,57,105680,528073,605,33,0.53,rural,graduate,0,1296769
0,28,61995,70053,468,2,0.63,suburban,graduate,1,102055
0,28,47311,89178,426,3,0.56,urban,high_school,0,156095
0,58,99652,487020,349,37,0.15,urban,high_school,0,919799
0,36,69789,491315,309,12,0.58,rural,graduate,0,1141486
0,28,72748,169550,420,4,0.45,urban,graduate,0,435662
1,58,108737,359698,666,32,0.49,urban,high_school,1,475070
0,50,43720,568105,391,29,0.12,rural,graduate,0,737564
1,52,66782,326955,767,28,0.13,suburban,high_school,0,630550
0,38,74641,60142,397,18,0.58,suburban,graduate,1,162623
0,30,74000,440722,574,9,0.2,suburban,graduate,1,1159067
1,37,68646,188948,470,16,0.1,suburban,graduate,1,452027
0,30,48410,448197,748,8,0.54,urban,high_school,1,1146635
1,28,68011,116412,751,8,0.3,rural,graduate,1,177321
1,53,162275,149868,831,25,0.63,urban,postgraduate,0,279608
0,44,59188,542085,460,16,0.75,rural,high_school,0,1465658
0,24,39916,581553,584,4,0.56,rural,graduate,1,840584
1,49,96595,174473,757,24,0.65,rural,graduate,1,516674
0,21,20105,369394,300,0,0.5,suburban,high_school,1,1026997
1,41,84503,546116,639,13,0.34,rural,graduate,0,1328872
0,48,51236,356166,649,23,0.35,urban,high_school,0,746303
0,51,46250,176611,500,28,0.36,rural,high_school,1,505183
0,49,69453,179204,347,19,0.41,rural,high_school,1,455947
0,28,73664,556390,743,0,0.67,urban,graduate,0,1585011
0,31,108287,387477,406,5,0.36,urban,postgraduate,0,778139
1,35,82365,194892,763,13,0.61,suburban,graduate,1,355773
1,52,111529,269899,522,29,0.28,urban,graduate,1,606823
0,31,57148,553704,660,3,0.8,urban,postgraduate,1,1199108
1,46,116897,76499,835,25,0.09,suburban,postgraduate,1,134771
1,30,68720,83875,602,7,0.41,rural,graduate,1,144043
1,59,150033,585740,698,36,0.69,urban,postgraduate,0,1504540
0,44,69023,313550,355,24,0.75,urban,graduate,1,440905
0,48,69972,358467,501,25,0.84,urban,high_school,1,680237
1,52,55788,218746,570,30,0.25,rural,high_school,1,474235
1,41,45880,103325,630,12,0.55,rural,graduate,0,263202
1,56,132730,280646,625,28,0.47,rural,postgraduate,1,817795
0,52,73579,281942,394,27,0.58,urban,high_school,1,780075
0,59,170197,412814,309,38,0.77,urban,postgraduate,1,780769
1,59,128399,168881,628,33,0.48,rural,postgraduate,0,299215
0,43,53702,588857,497,18,0.13,suburban,postgraduate,1,685836
1,54,78232,494815,518,24,0.21,urban,postgraduate,0,1321814
0,47,130636,397828,324,20,0.11,urban,postgraduate,0,427972
0,31,83164,456881,564,5,0.37,urban,graduate,0,869102
1,27,93199,97727,364,0,0.11,urban,postgraduate,0,234717
0,52,59172,508936,388,28,0.71,urban,high_school,1,897166
0,34,43827,441255,447,10,0.06,urban,high_school,1,1286162
1,55,35667,139261,703,27,0.65,rural,high_school,0,224124
0,46,67418,170190,558,23,0.69,rural,postgraduate,0,231920
0,23,74588,120634,597,0,0.21,urban,postgraduate,1,181116
0,42,41631,383222,371,19,0.31,rural,high_school,0,755607
1,39,104631,226831,623,13,0.25,urban,postgraduate,0,229023
0,47,82850,535331,639,20,0.67,rural,graduate,1,1012158
1,51,112029,196802,383,27,0.21,rural,postgraduate,0,547620
0,24,46006,323276,517,4,0.85,urban,high_school,0,674657
1,50,89128,537274,597,28,0.12,suburban,postgraduate,0,1075754
0,35,63713,203300,463,13,0.44,urban,postgraduate,0,502524
0,42,39296,295386,570,17,0.22,suburban,high_school,0,320676
1,50,106000,596699,631,29,0.27,rural,graduate,0,1352796
1,36,88481,131618,674,7,0.35,suburban,postgraduate,0,267622
0,42,88354,195718,306,14,0.23,suburban,graduate,1,367910
0,52,70742,174078,461,27,0.38,rural,postgraduate,1,404247
1,50,63931,305506,720,30,0.51,urban,graduate,0,331867
0,30,34265,238783,470,6,0.37,urban,high_school,0,485513
1,38,52022,228852,782,11,0.38,suburban,high_school,0,329255
0,29,93021,409316,570,7,0.53,urban,postgraduate,0,1164382
0,28,40034,490186,816,0,0.53,rural,high_school,0,1300477
0,31,65378,555666,420,10,0.77,urban,graduate,0,1288470
1,47,124056,290633,842,21,0.44,suburban,postgraduate,1,836105
1,44,47019,137889,788,21,0.75,suburban,graduate,0,216007
0,20,38353,478705,510,0,0.17,urban,postgraduate,0,825545
1,57,92759,338946,674,28,0.37,urban,graduate,1,1011278
1,55,84614,371549,795,31,0.67,suburban,graduate,0,800800
1,45,73574,219654,535,18,0.46,urban,postgraduate,0,263707
0,59,100473,202387,305,38,0.53,rural,postgraduate,0,393306
0,25,32681,470106,338,0,0.47,rural,high_school,1,1047363
1,31,41248,254206,830,7,0.53,suburban,postgraduate,1,271293
0,53,88118,300878,336,28,0.83,urban,postgraduate,0,695039
1,45,74751,121950,830,25,0.49,suburban,graduate,1,346137
1,55,147135,253974,583,32,0.37,suburban,postgraduate,1,484967
0,52,58739,320211,419,24,0.7,urban,high_school,0,881293
0,56,86046,531137,549,31,0.77,suburban,graduate,1,1255177
0,36,68842,291099,525,6,0.38,urban,high_school,1,756951
0,42,133741,147527,554,18,0.65,urban,postgraduate,0,265233
0,31,41221,249405,575,9,0.21,suburban,graduate,1,498310
0,35,43741,423321,555,6,0.14,rural,graduate,0,555393
1,51,166444,380738,793,26,0.84,urban,postgraduate,0,755643
1,56,115518,467206,823,32,0.51,rural,graduate,1,674732
1,50,102389,176215,478,23,0.42,urban,postgraduate,0,422297
0,20,34810,322315,633,0,0.26,suburban,high_school,0,442959
1,41,60993,432812,729,16,0.27,suburban,graduate,0,1172337
0,31,98844,297259,402,7,0.74,urban,postgraduate,0,627418
0,29,48635,592121,437,0,0.3,rural,graduate,0,1224485
1,51,119486,153782,348,25,0.1,urban,graduate,1,366168
0,60,68130,320233,669,35,0.38,urban,high_school,1,540643
0,42,110873,422358,478,18,0.46,urban,postgraduate,0,696966
0,25,53168,403777,448,3,0.54,suburban,graduate,1,744416
0,45,46372,355509,621,20,0.53,rural,high_school,0,860639
0,43,63034,296024,323,21,0.8,suburban,postgraduate,1,687973
0,25,24244,106440,365,0,0.37,suburban,high_school,0,112052
1,36,88558,290497,699,12,0.28,rural,postgraduate,0,434232
0,60,102412,424175,329,40,0.31,urban,high_school,0,1154068
0,54,111416,528720,481,25,0.56,rural,graduate,1,1196014
0,56,80343,513324,532,35,0.38,suburban,graduate,1,829396
